Column1;Column2;Column3;Column4;Column5;Column6;;;;;
138;6709353538445303284;27 Division Place;$4.56;Cabbage - Red;1706176974;;;;;
141;5602214250855958477;96 Lakewood Gardens Crossing;$7.11;Peas - Pigeon, Dry;1706176974;;;;;
162;5602238154948720;66171 Northview Point;$7.03;Bag - Regular Kraft 20 Lb;1706176974;;;;;
73;6390372557278676;3179 Summer Ridge Court;$7.06;Mushroom - Chantrelle, Fresh;1706176974;;;;;
147;3561816300541038;9852 Holmberg Point;$7.79;Longos - Greek Salad;1706176975;;;;;
183;6767980879087228440;91999 Starling Point;$5.59;Veal - Osso Bucco;1706176975;;;;;
9;201751631360943;9 Del Mar Park;$2.94;Doilies - 5, Paper;1706176975;;;;;
136;6380944678008554;31 Shoshone Place;$3.25;Nantucket - Kiwi Berry Cktl.;1706176976;;;;;
159;4905008606047646;554 Mallory Park;$3.39;Chinese Foods - Chicken;1706176976;;;;;
168;5048373314139068;5510 Arizona Junction;$1.46;Muffin - Mix - Strawberry Rhubarb;1706176976;;;;;
183;3545403149480610;1 Lotheville Center;$5.35;Longos - Chicken Wings;1706176976;;;;;
57;30409499082946;31902 Lerdahl Avenue;$7.67;Sesame Seed Black;1706176976;;;;;
28;372301586254247;543 Hooker Terrace;$5.61;Tomatoes - Vine Ripe, Yellow;1706176977;;;;;
73;675980148753350172;18 Mcbride Alley;$7.69;Pepper - Cubanelle;1706176977;;;;;
10;4026768728247796;519 Hazelcrest Plaza;$4.34;Veal - Liver;1706176978;;;;;
146;30422846172633;47 Nevada Road;$3.05;Foil - Round Foil;1706176978;;;;;
49;30400460604529;32415 Hayes Avenue;$2.40;Coffee - Irish Cream;1706176978;;;;;
122;4017957264708;59 Roth Pass;$2.47;Glass Clear 8 Oz;1706176979;;;;;
154;337941293150081;923 Fairview Hill;$9.57;Zucchini - Green;1706176979;;;;;
91;3566105923047176;2652 Drewry Alley;$1.96;Oxtail - Cut;1706176979;;;;;
12;4017956936064365;55 6th Terrace;$4.73;Ice Cream - Life Savers;1706176980;;;;;
132;6333192713339968;085 Melrose Place;$4.46;Oxtail - Cut;1706176980;;;;;
137;3584272503708219;96 Westerfield Avenue;$8.90;Juice - Tomato, 10 Oz;1706176980;;;;;
142;3559784836471829;0053 Basil Terrace;$0.25;Bread - Granary Small Pull;1706176980;;;;;
23;56022465127704675;4 Lakeland Park;$7.24;Squid - Tubes / Tenticles 10/20;1706176980;;;;;
50;630448530714994308;26 Mariners Cove Terrace;$6.79;Wine - Redchard Merritt;1706176980;;;;;
87;374288107912213;7828 Roth Crossing;$0.55;Pork Salted Bellies;1706176980;;;;;
5;6370419870900504;1528 Annamark Drive;$2.26;Pork - Bones;1706176981;;;;;
79;5602246452574304;2 Hauk Park;$9.68;Mushrooms - Black Dried;1706176981;;;;;
142;3568512978745794;0 Menomonie Court;$4.62;Pineapple - Regular;1706176982;;;;;
17;36157939710071;979 Sutteridge Plaza;$4.47;Wine - Magnotta - Pinot Gris Sr;1706176982;;;;;
195;676754710770966090;881 Lindbergh Way;$4.75;Beer - Camerons Cream Ale;1706176982;;;;;
31;3529198151139761;91 Warbler Center;$4.73;Vinegar - Rice;1706176982;;;;;
51;5196419101376148;3990 Corscot Lane;$3.88;Buffalo - Short Rib Fresh;1706176982;;;;;
56;374622180005844;420 Lukken Crossing;$6.08;Garbage Bags - Black;1706176982;;;;;
75;3583978786280509;57050 Golf Course Avenue;$5.97;Appetizer - Mini Egg Roll Shrimp;1706176982;;;;;
28;56022416145805416;28718 Meadow Valley Way;$5.74;Lighter - Bbq;1706176983;;;;;
61;4913295617599828;21114 Moulton Junction;$7.22;Beef - Rib Roast, Cap On;1706176983;;;;;
65;3537015195752666;1 Valley Edge Lane;$6.47;Bok Choy - Baby;1706176983;;;;;
94;3550727754151757;06 Scofield Circle;$6.52;Sugar - Icing;1706176983;;;;;
115;3549418849285420;5 Pennsylvania Court;$1.90;Squash - Butternut;1706176984;;;;;
185;3529299892390166;3521 Park Meadow Trail;$4.55;Wine - White, Ej;1706176984;;;;;
29;5100130437514527;61 Clarendon Parkway;$0.08;Cheese - Valancey;1706176984;;;;;
